,Date,Exercise,Weights,Sets,Reps,RPE,Mobility,Notes
38,1/4/20,skull crushers,[75.0],[3],[12],[None],no mobility,feel slight tricep strain but bearable
39,1/6/20,comp squat,"[375.0, 350.0]","[1, 4]","[6, 6]","[None, None]","jts mobility & warmup, bracing drills","top set was rpe 7.5, felt great going into the session,  were rpe 6, 6.5, 7, 6.5, hip getting very very slightly uncomfortable towards the end, still no pain"
40,1/6/20,incline bench,[185.0],[2],[6],[None],"jts mobility & warmup, bracing drills","touch n go for every rep except the last, sets were rpe 8, need to keep elbows tucked more than flat bench to keep shoulders safe"
41,1/6/20,ez bar bicep curls,[70.0],[3],[12],[None],"jts mobility & warmup, bracing drills","all easy, biceps growing"
42,1/6/20,lat pulldown,[130.0],[3],[12],[None],"jts mobility & warmup, bracing drills",unilateral feels much better
43,1/6/20,snatch grip deadlift,[275.0],[3],[10],[None],"jts mobility & warmup, bracing drills","conditioning is much better, felt solid"
44,1/7/20,2” block bench,[230.0],[4],[6],[None],t spine & shoulder mobility,all sets rpe 7/7.5
45,1/8/20,comp deadlift,"[390.0, 365.0]","[1, 5]","[5, 5]","[None, None]","foam rolling, bracing drills, jts mobility & warmup","warmups feel very smooth, top set was rpe 7, just trouble finding even grip, need to keep shoulders directly over the bar and not head/whip halfway through, hip position is fine but should avoid any lumbar rounding"
46,1/8/20,low bar pin squat,[335.0],[2],[6],[None],"foam rolling, bracing drills, jts mobility & warmup","warmups are in pocket, fast, easy, smooth, controlled, in pocket, sets were rpe 6.5/7"
47,1/9/20,comp squat,[365.0],[3],[6],[None],foam rolling and jts mobility & warmup,"second set much easier than first, hip and foot positioning feels fantastic, more difficult than should be because of lower back soreness but still very manageable, last rep was best rep"
48,1/9/20,rdl,[345.0],[3],[8],[None],foam rolling and jts mobility & warmup,"lower back is fucking blown up, reduce intensity slightly in the future to focus on form"
49,1/9/20,military press,[135.0],[3],[6],[None],foam rolling and jts mobility & warmup,"light headed every set and burns to brace but movement is smooth, sets were rpe 8, 8.5, 9"
50,1/9/20,comp bench,"[265.0, 225.0, 210.0]","[1, 1, 4]","[1, 6, 6]","[None, None, None]",foam rolling and jts mobility & warmup,"setting arch much better and keeping elbows stable, let bar sink and not be a t/shirt press, technique and specificity in comp bench are the only issues, strength is there"
51,1/13/20,comp squat,"[405.0, 365.0]","[1, 4]","[6, 6]","[None, None]",t spine and jts mobility & warmup,"top set was rpe 7.5, everything clicking, make it to the hole and fuck it up, 0 hip pain,  feeling very technically solid except for weight shifting forward as eccentric speed increases, 3rd back off set felt the cleanest up until this point, rest times are abnormally large because of the throwing up sensation i feel coming on"
52,1/13/20,incline bench,[190.0],[2],[6],[None],t spine and jts mobility & warmup,"bench on 4th hole, seat on 1st hole, lats feeling engaged and can contract harder since biceps were done first, sets were rpe 9"
53,1/14/20,2” board press,[235.0],[4],[6],[None],no mobility,"sets rpe 7.5/8, not as much focus on elbows as i’d like but it’ll work for the day"
54,1/14/20,snatch grip deadlift,[285.0],[3],[10],[None],no mobility,still hate these
55,1/16/20,comp deadlift,"[410.0, 375.0]","[1, 5]","[5, 5]","[None, None]",no mobility,"top set was rpe 6.5, in pocket, almost no warmup because of time,  harder than top set, much better at keeping a consistent looking point, hip discomfort afterwards from not being able to warmup"
56,1/16/20,low bar pin squat,[345.0],[2],[6],[None],no mobility,feel amazing despite not eating anything and it being 4pm
57,1/17/20,comp squat,"[455.0, 385.0]","[1, 2]","[1, 6]","[None, None]",no mobility,"had to scratch the itch of a heavy single, was rpe 8 money, actual sets were,  feel great technically, just fatigued from single"
58,1/17/20,rdl,[315.0],[3],[8],[None],no mobility,very appropriate weight reduction from last week leading to much better form
59,1/17/20,military press,[140.0],[2],[6],[None],no mobility,warmups flew like never before
60,1/18/20,comp bench,"[240.0, 220.0]","[1, 4]","[6, 6]","[None, None]",no mobility,"top set was rpe 9 despite thinking it would be much harder, wrap wrists more downward towards elbow from now on, slight elbow discomfort from squats yesterday"
61,1/18/20,rope tricep extensions,[120.0],[3],[12],[None],no mobility,swapped for skull crushers because of elbow tendonitis and discomfort
62,1/20/20,comp squat,"[425.0, 370.0]","[1, 3]","[5, 6]","[None, None]",no mobility,"combination of less rest days, yolo attempt that kept me from 6, 95lb pr for 5s, only did 3  instead of 4 because of squat rack complaint"
63,1/20/20,incline bench,[195.0],[2],[6],[None],no mobility,"rpe 10, need to deaload and get back at it next block"
64,1/20/20,straight bar bicep curls,[80.0],[3],[12],[None],no mobility,"use pinky’s at the beginning of the wider grip knurling to avoid discomfort and be in best position, all sets rpe 7/8"
65,1/20/20,snatch grip deadlift,[295.0],[3],[10],[None],no mobility,"rpe 7/8, conditioning is getting better"
66,1/21/20,2” board press,[235.0],[4],[6],[None],no mobility,"kept weigbt the same from last week due to overshoot, feels much better and much more in tune with rpe 8"
67,1/22/20,comp deadlift,"[445.0, 395.0]","[1, 5]","[5, 5]","[None, None]",no mobility,"top weight was perfect choice, rpe 10 in pocket,  rpe 8 because slow and steady, 5x5 with 96% of my previous 5 rep max so not too bad"
68,1/22/20,pin squat,[365.0],[2],[6],[None],no mobility,"very very easy, just elbow discomfort, very in groove and have adapted to movement pattern at this point"
69,1/22/20,lying hamstring curls,[115.0],[3],[12],[None],no mobility,"deload needed, reset form"
70,1/22/20,comp squat,[385.0],[3],[6],[None],no mobility,"feeling lower back fatigue on 135, second set was smoother than 1st set for the 4th, 5th, and 6th reps, lower back is fried but decent sets"
71,1/22/20,rdl,[315.0],[2],[8],[None],no mobility,"lower back is cooked but trying to maintain weight, lat having a hard time staying tight towards the end of the first set"
72,1/22/20,military press,[145.0],[2],[6],[None],no mobility,first set was surprisingly an 8.5
73,1/25/20,comp bench,"[245.0, 225.0]","[1, 4]","[6, 6]","[None, None]",no mobility,all easy new bench is amazing
74,1/25/20,face pulls,[47.5],[3],[15],[None],no mobility,money
75,1/26/20,comp squat,[315.0],[3],[6],[None],no mobility,late night session because of emotions.
76,1/26/20,incline bench,[170.0],[1],[6],[None],no mobility,"weird incline setup but doable, incline on 2nd hole from top and bottom is flat"
77,1/29/20,2’ board press,[205.0],[2],[6],[None],no mobility,literally easiest thing ever
78,1/29/20,comp deadlift,[385.0],[3],[5],[None],no mobility,"easy, lower back pump tho"
79,1/29/20,pin squat,[315.0],[1],[6],[None],no mobility,"slightly deeper than usual but it’s okay since this is the last session for these, last rep was best rep"
80,1/30/20,comp squat,[330.0],[2],[6],[None],no mobility,"easy, in pocket"
81,1/30/20,rdl,[275.0],[1],[8],[None],no mobility,very technically solid
82,1/30/20,military press,[125.0],[1],[6],[None],no mobility,easy
83,2/3/20,comp squat,"[360.0, 335.0]","[1, 4]","[5, 5]","[None, None]","mobility & warmup, back extensions (2x10), no pre-workout",all sets consistently rpe 6 and smooth/fast and good positioning overall
84,2/3/20,incline bench,[175.0],[3],[5],[None],"mobility & warmup, back extensions (2x10), no pre-workout","incline is in the middle hole while seat is flat, all reps this block on incline will be touch and go, not the increase in weight from last block i wanted because the setup is much different, rpe 8/8.5"
85,2/3/20,snatch grip deadlift,[275.0],[3],[8],[None],"mobility & warmup, back extensions (2x10), no pre-workout","done on stiff bar, make a sand castle with my feet ( queue hip adductors )"
86,2/5/20,2” board press,[230.0],[4],[5],[None],jts mobility & warmup,"rpe 6.5/7, very obvious adaptation was made, all reps tng"
87,2/5/20,comp deadlift,"[380.0, 355.0]","[1, 5]","[4, 4]","[None, None]",jts mobility & warmup,"start with knees 1/2 inch more forward than usual makes a world of a difference with quad activation, all sets rpe 6/6.5"
88,2/5/20,pause low bar squat,[315.0],[3],[5],[None],jts mobility & warmup,"money, just need longer pauses"
89,2/6/20,comp squat,[345.0],[4],[5],[None],"foam rolling, jts mobility & warmup, 2x10 back extensions",all smooth just feeling light headed and sickish
90,2/6/20,rdl,[245.0],[1],[8],[None],"foam rolling, jts mobility & warmup, 2x10 back extensions","taking intensity back on these to use correct form, after first set just staying light headed, cutting last 3 sets"
91,2/6/20,military press,[125.0],[3],[5],[None],"foam rolling, jts mobility & warmup, 2x10 back extensions",wanted to do 135 but fatigue and sickness puts it here
92,2/8/20,comp bench,"[245.0, 215.0, 200.0]","[1, 1, 4]","[1, 5, 5]","[6.0, None, None]",no mobility,"every set rpe sub 6, easy, first day back after illness and feels decent"
93,2/13/20,comp squat,"[385.0, 360.0]","[1, 4]","[5, 5]","[None, None]","jts mobility & warmup, 2x10 ghr","top set actually moved at maximum weight after 5 days off and 11lb bodyweight loss and was rpe 9,  hard as fuck"
94,2/13/20,incline bench,[185.0],[2],[5],[None],"jts mobility & warmup, 2x10 ghr",all tng because pauses would make my life too easy
95,2/14/20,2” board press,"[275.0, 235.0]","[1, 4]","[1, 5]","[8.0, None]",no mobility,"had to hit a single for the folks, easy, sets are rpe 7 money, benching feels better in slips"
96,2/14/20,comp deadlift,"[405.0, 375.0]","[1, 5]","[4, 4]","[None, None]",no mobility,"top set destroyed hands, probably will need to use straps for other top sets this block,  felt very smooth and in pocket"
97,2/14/20,low bar pause squat,[315.0],[3],[5],[None],no mobility,"same weight as last week to improve pauses, much better pauses just dying from leg soreness"
98,2/16/20,comp bench,"[135.0, 185.0, 225.0, 245.0, 275.0, 230.0, 215.0]","[1, 1, 1, 1, 1, 1, 4]","[10, 5, 1, 1, 1, 5, 5]","[None, None, None, None, None, None, None]","jts mobility & warmup, pvc pipe dislocations","single was rpe 8, top set of 5 was easy,  easy, everything is good positioning/wise, focus on scapular repression"
99,2/16/20,military press,"[45.0, 95.0, 115.0, 135.0]","[1, 1, 1, 3]","[10, 5, 3, 5]","[None, None, None, None]","jts mobility & warmup, pvc pipe dislocations","pretty difficult sets since done after bench, slight shoulder irritation"
100,2/17/20,comp squat,"[135.0, 225.0, 315.0, 365.0, 410.0, 375.0, 355.0]","[1, 1, 1, 1, 1, 1, 3]","[10, 5, 2, 1, 5, 5, 5]","[None, None, None, None, None, None, None]","foam rolling, jts mobility & warmup, ghrx2x10, kettlebell hip warmups",top set suffered from lower back fatigue from working out bench 16 hours ago
101,2/17/20,football bar bench,"[130.0, 180.0]","[1, 2]","[5, 5]","[None, None]","foam rolling, jts mobility & warmup, ghrx2x10, kettlebell hip warmups","can feel a lot more in chest, probably replacing incline bench, 40lb bar"
102,2/17/20,snatch grip deadlift,"[135.0, 225.0, 275.0, 295.0]","[1, 1, 1, 3]","[3, 3, 1, 8]","[None, None, None, None]","foam rolling, jts mobility & warmup, ghrx2x10, kettlebell hip warmups",most technically sound sets of these so far in the program
103,2/19/20,2” board press,[240.0],[4],[5],[None],"jts mobility & stretching, foam rolling","these are legit rpe 6/6.5, prepare for 10lb jump next week"
104,2/20/20,comp squat,[395.0],[3],[5],[None],"jts mobility & warmup, 2x10each leg kettlebell side squats, 2x10 bw ghr","had to wrap quad with knee wrap to create tension for minor strain, last set was by far the easiest since i attacked the weight without actively queueing anything"
105,2/20/20,sldl,[225.0],[3],[8],[None],"jts mobility & warmup, 2x10each leg kettlebell side squats, 2x10 bw ghr",don’t want to irritate anything and lower back is already shot
106,2/20/20,military press,[140.0],[2],[5],[None],"jts mobility & warmup, 2x10each leg kettlebell side squats, 2x10 bw ghr","warmups felt bad, quad is stinging on the un rack and shoulders feel beat"
107,2/21/20,comp bench,"[285.0, 245.0, 225.0, 275.0]","[1, 1, 4, 1]","[1, 5, 5, 1]","[9.5, None, None, 10.0]","jts mobility & warmup, 2x10 tricep extensions, iyt’s, 2x10 lat pulldown","first single was okay even with elbows feeling slightly out of position, got cold after single so top set was dookie rpe 10, positioning was fixed on , 275 done as a tester to see if warmup is the issue with top bench sets...it is not"
108,2/24/20,comp squat,"[435.0, 365.0]","[1, 1]","[4, 1]","[None, None]","foam rolling, jts mobility & warmup, 2x10 ghr, 2x10 cossack squats","quad isn’t feeling 100%, switching programs after understanding my needs more"
109,2/24/20,football bar press,"[185.0, 205.0, 225.0, 235.0]","[1, 1, 1, 1]","[3, 3, 3, 3]","[None, None, None, None]","foam rolling, jts mobility & warmup, 2x10 ghr, 2x10 cossack squats",top set was rpe 8
110,2/24/20,pause sumo deadlift,"[405.0, 455.0, 495.0]","[1, 1, 1]","[1, 1, 1]","[None, None, None]","foam rolling, jts mobility & warmup, 2x10 ghr, 2x10 cossack squats","felt very solid, very minor quad sensation, eat before next training session im so hungry"
111,2/26/20,larsen press,[225.0],[3],[3],[None],"foam rolling 1x30sec each side plank, 45 sec straight plank, 2x10 ghr, lat pulldown, cable row, and iyt’s",fucking easy
112,2/26/20,comp deadlift,"[405.0, 455.0, 495.0]","[1, 1, 1]","[4, 1, 4]","[None, None, 9.0]","foam rolling 1x30sec each side plank, 45 sec straight plank, 2x10 ghr, lat pulldown, cable row, and iyt’s","do not wear joggers on sumo days, knurling kills pants"
113,2/26/20,conventional deadlift,[365.0],[2],[5],[None],"foam rolling 1x30sec each side plank, 45 sec straight plank, 2x10 ghr, lat pulldown, cable row, and iyt’s",figured out how to wear a belt????
114,2/26/20,copenhagen planks,[3.0],[1],[25],[None],"foam rolling 1x30sec each side plank, 45 sec straight plank, 2x10 ghr, lat pulldown, cable row, and iyt’s",touch elbow to knee
115,2/29/20,comp squat,"[390.0, 400.0, 410.0]","[1, 1, 1]","[3, 3, 3]","[None, None, None]","foam rolling, t spine mobility, front & side planks, copenhagen planks, 90-90 hip transfers","open hips evenly, move left foot first on walkout, ascending sets worked as i fixed technical issues on the way to the top set which was the smoothest set"
116,2/29/20,high bar,[350.0],[3],[5],[None],"foam rolling, t spine mobility, front & side planks, copenhagen planks, 90-90 hip transfers",first time high bar in months and feels off but moves very good
117,2/29/20,close grip bench,"[205.0, 205.0, 215.0]","[1, 1, 1]","[7, 7, 7]","[None, None, None]","foam rolling, t spine mobility, front & side planks, copenhagen planks, 90-90 hip transfers",still sore from 3 days ago but will live
118,2/29/20,pendlay rows,[135.0],[3],[8],[None],"foam rolling, t spine mobility, front & side planks, copenhagen planks, 90-90 hip transfers",perfect form great starting point
119,3/1/20,comp bench,"[275.0, 235.0]","[1, 3]","[1, 5]","[9.0, None]","foam rolling, t spine mobility, front & side planks, 2x10 w/back extensions, lat pulldown, cable row, iyts","no preworkout and cut finger but decent all around, all sets 6/7"
120,3/1/20,larsen press,[215.0],[2],[7],[None],"foam rolling, t spine mobility, front & side planks, 2x10 w/back extensions, lat pulldown, cable row, iyts",squeeze gluten and watch elbow flare
121,3/1/20,incline dumbbell bench,"[75.0, 75.0, 65.0, 65.0]","[1, 1, 1, 1]","[12, 6, 6, 12]","[None, None, None, None]","foam rolling, t spine mobility, front & side planks, 2x10 w/back extensions, lat pulldown, cable row, iyts",hard as fuck
122,3/2/20,comp deadlift,"[450.0, 460.0, 475.0]","[1, 1, 1]","[3, 3, 3]","[None, None, None]","foam rolling, front & side planks, copenhagens, 3x10 ghr, 3x12kb squat, 3x6 kb cossack squat","all relatively easy and good positioning, can tell ssb will skyrocket this as well"
123,3/2/20,pause comp deadlift,[417.5],[2],[4],[None],"foam rolling, front & side planks, copenhagens, 3x10 ghr, 3x12kb squat, 3x6 kb cossack squat",got cold after comp work so first set was pretty trash but
124,3/2/20,ssb squat,"[330.0, 295.0]","[1, 2]","[3, 5]","[None, None]","foam rolling, front & side planks, copenhagens, 3x10 ghr, 3x12kb squat, 3x6 kb cossack squat","estimated max was just simply too high, it’s okay, 295 was the correct weight for the day 100%"
125,3/2/20,single legged leg press,[90.0],[3],[12],[None],"foam rolling, front & side planks, copenhagens, 3x10 ghr, 3x12kb squat, 3x6 kb cossack squat","great starting point, good blood flow, keep sleeves on for comfort"
126,3/2/20,split squats,[30.0],[3],[12],[None],"foam rolling, front & side planks, copenhagens, 3x10 ghr, 3x12kb squat, 3x6 kb cossack squat","think about being as upright as possible, can jump 10lb next week"
127,3/4/20,comp bench,"[45.0, 95.0, 135.0, 185.0, 225.0, 235.0, 242.5, 250.0]","[1, 1, 1, 1, 1, 1, 1, 1]","[15, 10, 8, 5, 1, 3, 3, 3]","[None, None, None, None, None, None, None, None]","foam rolling, front & side planks, t spine mobility, 2x10 lat pulldown, cable row, ghr, iyt’s","trying more warmup sets per shethar, working sets got better as i went on, last set was rpe 6, pec/shoulder felt awkward on warmups, 5ct pause on last rep very easy"
128,3/4/20,comp bench,[232.5],[5],[2],[None],"foam rolling, front & side planks, t spine mobility, 2x10 lat pulldown, cable row, ghr, iyt’s","aiming for 30/45sec rest between sets to make more difficult and improve setup, done shirtless to see the bar mark on my chest to check pressing point ( was perfect this session )"
129,3/4/20,lat pulldown,"[130.0, 145.0]","[1, 4]","[8, 8]","[None, None]","foam rolling, front & side planks, t spine mobility, 2x10 lat pulldown, cable row, ghr, iyt’s",feels great on pec “discomfort”
130,3/5/20,comp squat,"[405.0, 445.0]","[1, 1]","[1, 1]","[None, None]","foam rolling, trifecta planks, 2x10 ghr, kb cossack squats, kb squats",too single was rpe 8.5 and very controlled
131,3/5/20,3:1:0 tempo comp squat,[355.0],[3],[3],[None],"foam rolling, trifecta planks, 2x10 ghr, kb cossack squats, kb squats","feel amazing, 0 pain, great sets and around rpe 8"
132,3/5/20,football bench,"[210.0, 210.0, 210.0, 215.0]","[1, 1, 1, 1]","[4, 4, 4, 4]","[None, None, None, None]","foam rolling, trifecta planks, 2x10 ghr, kb cossack squats, kb squats",pec discomfort still there on warmups
133,3/5/20,conventional deadlift,[402.5],[3],[5],[None],"foam rolling, trifecta planks, 2x10 ghr, kb cossack squats, kb squats",sets rpe 7 as intended
134,3/8/20,comp squat,"[395.0, 410.0, 420.0]","[1, 1, 1]","[3, 3, 3]","[None, None, None]","t spine mobility, pitshark, ghr, cossack squats","all felt target rpe after moving all day yesterday, queue adductors throughout the whole movement you dumb fuck"
135,3/8/20,high bar,[360.0],[3],[5],[None],"t spine mobility, pitshark, ghr, cossack squats","have to fight to keep chest up more, understandable after these levels of fatigue from comp squat but have to put forth the effort to be technically great at everything"
136,3/8/20,comp bench,"[45.0, 135.0, 185.0, 225.0, 245.0, 265.0, 285.0, 305.0]","[1, 1, 1, 1, 1, 1, 1, 1]","[20, 10, 3, 2, 1, 1, 1, 0]","[None, None, None, None, None, None, None, None]","t spine mobility, pitshark, ghr, cossack squats","absolute technical failure on pr attempt, strength is there so no worries, 285 single was easily rpe 8 and sound"
137,3/8/20,close grip bench,"[205.0, 215.0]","[1, 2]","[7, 7]","[None, None]","t spine mobility, pitshark, ghr, cossack squats",easy and money
138,3/10/20,comp bench,"[305.0, 235.0, 235.0, 245.0]","[1, 1, 1, 1]","[1, 5, 5, 5]","[None, None, None, None]","foam rolling, t spine mobility, lat pulldown, cable row, back extension, iyt’s","revenge single with sleeves, all sets money and 245 was the easiest set"
139,3/10/20,larsen press,[220.0],[2],[7],[None],"foam rolling, t spine mobility, lat pulldown, cable row, back extension, iyt’s",much better than last week
140,3/11/20,comp deadlift,"[460.0, 475.0, 495.0]","[1, 1, 1]","[3, 3, 3]","[None, None, None]","foam rolling, t spine mobility, 4 types of planks, kb squats & cossack squats","need to cleanup lockout, top set was ugly but it was a stiff bar so still really good"
141,3/11/20,conventional deadlift,[405.0],[3],[5],[None],"foam rolling, t spine mobility, 4 types of planks, kb squats & cossack squats",very easy
142,3/11/20,high bar,"[315.0, 315.0, 335.0]","[1, 1, 1]","[5, 5, 5]","[None, None, None]","foam rolling, t spine mobility, 4 types of planks, kb squats & cossack squats","easy, very money, helps a lot to warmup up instead of dropping from low bar"
143,3/11/20,split squats,[35.0],[3],[12],[None],"foam rolling, t spine mobility, 4 types of planks, kb squats & cossack squats",left foot is so much worse than right
144,3/12/20,comp bench,"[250.0, 255.0, 260.0]","[1, 1, 1]","[3, 3, 3]","[None, None, None]","foam rolling, t spine mobility, 4 types of planks, iyts, db bench, shoulder dislocations","misloaded twice because 255 was done first and 265 was supposed to be the top set holy shit count next time dumbass, 260 was rpe 6"
145,3/12/20,comp bench,[250.0],[5],[2],[None],"foam rolling, t spine mobility, 4 types of planks, iyts, db bench, shoulder dislocations","easy, all sub 6"
146,3/14/20,comp squat,[455.0],[1],[1],[None],"foam rolling, t spine mobility, 4 types of planks, cossack squats, ghr, kb squat","easy, rpe 8.5, stay controlled"
147,3/14/20,3:1:0 tempo comp squat,"[355.0, 355.0, 365.0]","[1, 1, 1]","[3, 3, 3]","[None, None, None]","foam rolling, t spine mobility, 4 types of planks, cossack squats, ghr, kb squat",all difficult but really smooth
148,3/14/20,football bar bench,"[210.0, 215.0]","[2, 2]","[4, 4]","[None, None]","foam rolling, t spine mobility, 4 types of planks, cossack squats, ghr, kb squat","all easy, progressing well, just stay controlled"
149,3/14/20,pause comp deadlift,"[440.0, 455.0, 455.0]","[1, 1, 1]","[1, 1, 1]","[None, None, None]","foam rolling, t spine mobility, 4 types of planks, cossack squats, ghr, kb squat","last set best set, decent speed just need to work on pause length"
150,3/16/20,comp squat,"[410.0, 420.0, 435.0]","[1, 1, 1]","[3, 3, 3]","[None, None, None]","foam rolling, t spine mobility, 4 types of planks, kb cossack squats, back extensions, kb squats",too set was rpe 8/8.5 easy fucking easy
151,3/16/20,high bar,[370.0],[3],[5],[None],"foam rolling, t spine mobility, 4 types of planks, kb cossack squats, back extensions, kb squats","fairly difficult but very doable, ramp up from one plate instead of immediate drop will make it feel much better"
152,3/16/20,comp bench,[295.0],[1],[1],[None],"foam rolling, t spine mobility, 4 types of planks, kb cossack squats, back extensions, kb squats","easy, rpe 8.5"
